time_s,type,name,hold_ms,gap_ms
0.349,MOUSE,right,50,0
0.703,MOUSE,left,1,304
0.753,MOUSE,left,1,49
0.804,MOUSE,left,1,50
0.848,MOUSE,right,427,43
1.486,KEY,2,106,212
1.457,KEY,vk0x5b,168,0
1.999,MOUSE,right,226,373
2.806,MOUSE,left,1,581
2.856,MOUSE,left,1,49
2.907,MOUSE,left,1,50
2.957,MOUSE,left,1,49
3.007,MOUSE,left,1,49
3.058,MOUSE,left,1,50
3.108,MOUSE,left,1,49
3.159,MOUSE,left,1,50
3.209,MOUSE,left,1,49
3.305,KEY,vk0x5b,125,96
3.391,KEY,1,102,0
3.868,MOUSE,left,1,374
3.918,MOUSE,left,1,49
3.993,MOUSE,right,196,74
4.212,MOUSE,left,1,23
4.262,MOUSE,left,1,49
4.313,MOUSE,left,1,50
4.363,MOUSE,left,1,49
4.413,MOUSE,left,1,49
4.464,MOUSE,left,1,50
4.514,MOUSE,left,1,49
4.645,KEY,d,314,131
5.101,KEY,s,121,142
5.677,MOUSE,left,1,454
5.728,MOUSE,left,1,50
5.778,MOUSE,left,1,49
5.828,MOUSE,left,1,49
5.879,MOUSE,left,1,50
6.069,MOUSE,left,1,189
6.121,MOUSE,left,1,51
6.169,MOUSE,left,1,47
6.22,MOUSE,left,1,50
6.27,MOUSE,left,1,49
6.321,MOUSE,left,1,50
6.762,KEY,vk0x5b,25,440
6.762,KEY,2,25,0
6.758,KEY,f1,79,0
6.963,KEY,1,141,125
7.157,KEY,vk0x5b,25,53
7.158,KEY,1,25,0
8.934,MOUSE,left,56,1752
9.059,MOUSE,right,638,68
9.904,MOUSE,left,111,207
10.276,MOUSE,left,69,261
10.576,KEY,vk0x5b,137,232
10.615,KEY,2,113,0
11.918,MOUSE,left,88,1190
12.909,MOUSE,left,90,903
13.15,MOUSE,left,86,151
13.428,KEY,vk0x5b,117,192
13.508,KEY,1,135,0
14.462,KEY,vk0x5b,25,819
14.463,KEY,2,24,0
14.459,KEY,f1,79,0
14.649,KEY,1,140,111
14.84,KEY,vk0x5b,25,51
14.841,KEY,1,25,0
16.559,KEY,tab,131,1693
16.499,KEY,lalt,586,0
16.999,KEY,tab,129,0
18.197,MOUSE,left,39,1069
20.022,MOUSE,left,1,1786
20.073,MOUSE,left,1,50
20.403,MOUSE,left,1,329
20.453,MOUSE,left,1,49
20.503,MOUSE,left,1,49
20.852,KEY,3,79,348
20.694,KEY,vk0x5b,466,0
21.077,KEY,1,161,0
21.501,MOUSE,left,1,263
21.551,MOUSE,left,1,49
21.602,MOUSE,left,1,50
21.652,MOUSE,left,1,49
23.406,KEY,3,96,1753
23.221,KEY,vk0x5b,651,0
23.729,KEY,1,190,0
24.256,KEY,2,124,337
24.183,KEY,vk0x5b,591,0
24.706,KEY,1,132,0
25.513,KEY,vk0x5b,25,675
25.514,KEY,2,25,0
25.51,KEY,f1,100,0
25.719,KEY,1,143,109
25.913,KEY,vk0x5b,25,51
25.914,KEY,1,25,0
26.893,MOUSE,left,73,954
31.765,MOUSE,left,51,4799
33.375,MOUSE,left,6041,1559
42.638,MOUSE,left,3684,3222
47.12,KEY,c,79,798
47.042,KEY,lctrl,209,0
47.253,MOUSE,left,52,2
47.435,KEY,v,71,130
47.382,KEY,lctrl,180,0
47.69,KEY,tab,148,128
49.672,MOUSE,left,47,1834
47.662,KEY,lalt,2117,0
49.968,MOUSE,left,53,189
50.081,KEY,a,65,60
50.035,KEY,lctrl,159,0
50.289,KEY,lalt,75,95
50.28,KEY,lshift,131,0
50.46,KEY,r,140,49
50.523,KEY,e,96,0
50.646,KEY,l,91,27
50.742,KEY,f,89,5
51.141,KEY,a,70,310
51.13,KEY,lctrl,122,0
51.344,KEY,lalt,29,92
51.342,KEY,lshift,90,0
51.478,KEY,r,170,46
51.601,KEY,e,84,0
51.755,KEY,l,71,70
51.87,KEY,f,77,44
51.938,KEY,space,73,0
52.094,KEY,l,96,83
52.211,KEY,t,65,21
52.293,KEY,k,115,17
52.434,KEY,b,114,26
52.558,KEY,c,108,10
52.629,KEY,m,106,0
52.736,KEY,space,57,1
52.915,KEY,lalt,70,122
53.067,KEY,r,85,82
53.178,KEY,m,114,26
53.295,KEY,b,97,3
52.907,KEY,lshift,555,0
53.4,KEY,space,77,0
53.812,KEY,lalt,75,335
53.813,KEY,lshift,110,0
54.032,KEY,lalt,79,109
54.076,KEY,lshift,48,0
